Timestamp,First choice,Second choice,Third choice
3/17/2019 0:47:40,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:47:46,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:48:25,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:48:41,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:48:56,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:49:03,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:49:09,@scottlincicome,@AlanMCole,@AlanMCole
3/17/2019 0:49:49,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:50:02,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:50:35,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:51:33,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:52:07,@AlanMCole,@scottlincicome,@AlanMCole
3/17/2019 0:52:57,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:54:34,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:54:47,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:55:01,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:55:27,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:55:52,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:55:59,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:56:16,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:57:05,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:57:10,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:57:15,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:57:36,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:57:41,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:57:54,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:58:42,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:58:47,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:59:42,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 1:00:11,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:01:39,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:01:58,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:02:10,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:02:11,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 1:03:17,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 1:03:53,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 1:05:34,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:06:18,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 1:06:56,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:07:28,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 1:08:03,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 1:08:10,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:08:48,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 1:09:09,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:09:42,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:10:15,@mattyglesias,@mattyglesias,@mattyglesias
3/17/2019 1:11:43,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:11:46,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:12:09,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 1:12:09,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:12:19,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:12:19,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 1:13:29,@mattyglesias,@mattyglesias,@mattyglesias
3/17/2019 1:13:30,@mattyglesias,@scottlincicome,@AlanMCole
